Delta,Theta,Alpha,Beta,Gamma
0.5289,8.8632,7.8536,4.6315,1.9212
1.228,9.6594,8.2162,4.511,1.7342
0.2979,8.992,7.1866,4.2772,1.4856
-0.4115,8.7764,6.9635,4.6271,1.2402
1.3342,9.3773,6.5586,5.3038,1.1977
0.2434,9.6244,7.9304,5.2056,1.1965
-0.0894,10.083,7.6203,5.1163,1.0219
1.4759,10.5424,7.4536,4.6332,1.1131
1.5152,10.8493,7.0022,4.6169,0.7504
-0.3303,9.5599,6.8377,4.4036,-0.0417
0.1202,9.4231,8.1062,4.0352,-0.4288
-0.4185,8.0348,7.6319,3.7212,-0.5061
-2.4462,7.4081,8.2363,3.4923,-0.644
-2.0386,8.4713,8.1536,3.1289,-0.9326
-2.4471,9.1002,7.5104,2.6588,-0.7974
-1.3321,9.1403,7.0566,3.5081,-0.9505
-1.5055,9.1448,5.7903,3.3906,-1.1201
-1.5991,9.7006,6.3735,3.3855,-1.2669
-0.66,8.9017,6.1627,3.9006,-0.8514
-2.2474,8.9475,5.374,4.0279,-0.0208
0.0539,7.7124,5.7961,3.8671,0.4786
-0.1437,6.9129,6.6876,3.8553,0.9959
2.7714,7.4527,6.9563,4.1539,1.1479
3.4639,7.2273,7.0347,4.3333,0.0152
3.1565,7.6972,6.791,4.9085,0.6039
2.6149,7.8555,6.6792,5.0227,0.4021
2.3977,8.8066,6.3113,5.8792,1.7564
0.5763,8.8239,5.9601,6.7825,4.0968
2.2891,9.4248,8.0789,6.7649,4.3838
2.6161,10.6489,8.0322,6.7974,4.3777
2.9163,10.0228,7.7645,6.4301,4.0861
2.5927,10.1696,7.7118,5.0812,2.1916
0.5121,9.1968,9.1653,4.8373,1.6044
-0.148,8.1887,7.169,4.5329,0.4351
-2.2238,6.7352,7.4921,4.0559,-0.2643
-2.6949,6.3515,8.0031,4.2724,-0.1782
-2.8749,6.9613,7.4354,4.5795,0.0012
-2.3768,8.156,6.0799,4.2273,0.4123
-3.3033,8.0496,6.2831,4.0214,0.6247
-0.857,8.9064,7.4882,4.2159,1.3994
-0.7609,9.5914,7.9448,3.9084,2.1453
-0.691,8.3626,7.8387,3.9394,1.9742
-0.9621,9.0324,7.4931,3.5925,1.721
0.0066,8.7132,6.8409,3.4556,1.0215
-0.7485,8.1906,6.507,2.8852,-0.2258
-1.0961,8.8398,6.8143,3.1753,-0.0498
-0.8106,9.269,6.6284,3.3637,0.8636
-0.4251,8.988,7.6067,3.1925,0.6745
-0.4362,9.3855,7.988,3.0891,1.3205
-1.7681,9.6213,7.7523,3.9825,1.6776
-1.9799,9.1461,7.7754,4.2681,1.5327
-1.9159,8.4933,6.9932,4.0505,0.0306
-1.9654,7.6768,6.1154,3.3354,-0.1879
-1.3047,6.1347,6.8256,3.1783,0.0624
-0.7534,7.539,6.8266,3.3593,0.3331
-0.7254,7.5793,6.4488,3.1924,0.6733
0.0655,8.4779,5.985,3.1573,1.2721
-0.1514,9.0914,5.7408,3.815,1.2305
-0.2323,9.5283,4.8566,3.7846,0.5735
1.2326,8.7047,4.5307,4.0245,0.9424
-0.4384,9.5329,4.9392,4.0574,0.8097
-0.643,9.2199,5.3739,3.6311,0.3639
0.8933,9.4537,6.7063,3.6703,0.3036
2.7207,9.866,7.9614,3.9007,0.274
2.8609,9.5028,8.1491,3.8042,-0.3736
2.1535,9.0476,7.7681,3.6037,0.8037
2.7163,10.6976,8.3911,4.1459,0.7408
-4.2624,9.2865,7.6998,4.1802,1.8934
-3.1729,9.3147,8.7058,4.3619,2.3981
-4.0681,8.659,8.4617,4.5229,2.7446
-0.8026,10.0431,8.1115,4.8813,2.9529
0.9972,10.4315,7.8651,5.0346,2.3478
0.3927,10.7263,8.3451,4.2703,2.3828
1.3453,10.4211,8.547,4.5368,2.7146
1.7988,10.0333,9.0447,4.564,2.1083
1.3546,7.9752,8.7648,4.9388,1.6884
1.7809,8.1244,9.7295,4.7884,0.4895
2.7677,8.5942,9.7413,5.2492,1.0758
2.1334,9.1712,9.2223,5.1,1.0209
1.2899,9.1501,9.2212,5.2581,1.0919
0.8853,9.4569,8.683,4.5061,1.5797
0.221,10.1231,8.4857,4.3633,1.6715
4.0749,10.5651,9.0624,4.3388,1.8116
5.2687,10.5429,9.4455,3.8733,1.8695
4.9717,10.7621,10.1838,3.4413,1.7424
4.9795,8.8125,9.3575,4.2953,1.3971
2.6838,8.529,9.2344,4.0938,0.5449
-0.1214,10.1051,9.5856,4.7447,0.8229
-0.2537,9.9225,8.4041,4.9468,0.9989
-0.2456,12.211,9.0085,4.6408,0.6805
0.934,12.0575,8.9648,4.6223,1.1563
-0.4211,10.3346,8.8296,4.5745,0.6521
1.6211,11.5963,9.4762,4.6074,2.0042
1.4404,8.6911,8.8095,4.7847,1.9097
1.1938,8.7099,8.7261,4.4466,2.3522
1.988,8.8982,8.278,4.5448,3.4158
1.5279,8.8281,8.7076,4.0938,2.8872
1.988,8.8982,8.278,4.5448,3.4158
-1.5469,8.13,7.0027,4.0645,2.6557
-1.8969,10.4988,9.1176,4.0486,2.6732
1.0053,10.9614,8.3165,4.6837,1.9565
2.0703,11.9578,9.9577,6.0096,2.3917
3.3816,12.1091,9.9381,6.321,2.4196
3.0448,11.7046,10.1897,5.0901,2.2069
1.9329,10.5524,10.13,5.0944,1.9926
2.3664,10.6537,9.3404,4.984,1.8487
1.277,10.8457,9.7517,5.6622,1.3799
-0.0429,10.5619,10.2207,5.8636,2.1564
1.21,11.5791,10.5431,5.7563,2.8402
1.1891,11.4679,11.0468,5.4861,3.9755
1.3612,10.9576,9.9386,5.5383,3.9748
1.5967,10.7622,9.1135,4.4515,3.3303
1.9871,9.6644,9.3531,4.9525,4.2759
-0.971,9.4174,9.422,5.3617,3.9749
0.5598,9.9527,9.5664,7.0927,5.6055
0.4283,10.3505,9.99,8.3103,7.5373
